"Data Source","World Development Indicators"

"Country Name","Country Code","Indicator Name","Indicator Code","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Afghanistan","AFG","Population, total","SP.POP.TOTL","0","0","1","1","1","1","2","2","2","11","11","11","11","11","14","17","19","21","23","25","25","25","28","28","32","43","43"
"Algeria","DZA","Population, total","SP.POP.TOTL","1","9","27","61","68","68","68","68","68","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70","70"
"Angola","AGO","Population, total","SP.POP.TOTL","1","4","5","6","7","7","8","8","8","8","8","8","8","8","8","8","8","8","10","10","10","10","10","10","10","10","10"
"Argentina","ARG","Population, total","SP.POP.TOTL","0","0","0","0","0","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Azerbaijan","AZE","Population, total","SP.POP.TOTL","1","1","1","2","2","2","2","2","2","2","2","2","2","3","3","3","3","4","4","5","5","5","5","5","5","5","5"
"Bahrain","BHR","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bangladesh","BGD","Population, total","SP.POP.TOTL","0","0","0","0","1","1","2","2","4","5","7","7","10","12","12","12","12","12","12","12","13","14","15","20","20","21","21"
"Belarus","BLR","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2"
"Bolivia","BOL","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2"
"Brazil","BRA","Population, total","SP.POP.TOTL","0","0","1","5","5","6","8","8","9","9","11","13","15","16","16","17","17","17","18","21","25","29","32","38","39","40","41"
"Burkina Faso","BFA","Population, total","SP.POP.TOTL","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Burundi","BDI","Population, total","SP.POP.TOTL","0","0","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","4","5"
"Cambodia","KHM","Population, total","SP.POP.TOTL","0","0","3","3","4","6","6","6","6","6","6","7","7","7","7","7","8","8","8","8","9","9","9","9","9","9","9"
"Cameroon","CMR","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1"
"Canada","CAN","Population, total","SP.POP.TOTL","0","0","0","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Central African Republic","CAF","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"China","CHN","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Colombia","COL","Population, total","SP.POP.TOTL","1","5","6","8","9","13","17","22","25","28","31","36","37","39","41","41","41","42","43","43","44","46","46","48","48","49","50"
"Costa Rica","CRI","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0"
"Croatia","HRV","Population, total","SP.POP.TOTL","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","4","4","4"
"Cyprus","CYP","Population, total","SP.POP.TOTL","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Denmark","DNK","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Dominican Republic","DOM","Population, total","SP.POP.TOTL","0","0","0","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3"
"Egypt","EGY","Population, total","SP.POP.TOTL","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","4","11","12","12","12","12","12"
"Ecuador","ECU","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","2","2","2","2","2"
"El Salvador","SLV","Population, total","SP.POP.TOTL","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","3","3","3","3","3","3","3"
"Ethiopia","ETH","Population, total","SP.POP.TOTL","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"France","FRA","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9"
"Gambia","GMB","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2"
"Georgia","GEO","Population, total","SP.POP.TOTL","0","0","3","3","3","3","4","4","4","5","5","5","5","5","5","5","8","8","8","8","8","8","8","8","8","8","8"
"Ghana","GHA","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Guatemala","GTM","Population, total","SP.POP.TOTL","0","0","1","1","1","2","2","2","3","4","4","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6"
"Guinea","GIN","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","4","4"
"Haiti","HTI","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","1","2","2","2","3","4","5","5","6","6","6","6","6","6","6","6","6","6","6"
"Honduras","HND","Population, total","SP.POP.TOTL","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","5","5","5","5","5","5","5","5","5"
"India","IND","Population, total","SP.POP.TOTL","2","4","5","6","8","15","15","15","16","17","18","19","21","0","22","25","29","30","31","32","34","38","40","41","43","47","47"
"Indonesia","IDN","Population, total","SP.POP.TOTL","0","0","0","0","1","3","3","3","3","4","4","5","5","5","6","6","6","7","10","10","11","11","11","11","11","11","11"
"Iran","IRN","Population, total","SP.POP.TOTL","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","4","4","4","4","4","4","4"
"Iraq","IRQ","Population, total","SP.POP.TOTL","1","1","1","1","1","1","1","1","1","1","1","22","58","64","108","152","165","169","177","182","182","194","199","205","212","221","221"
"Ireland","IRL","Population, total","SP.POP.TOTL","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Israel","ISR","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","1","4","6","7","7","7","9","10","11","11","11","13","13","20","20","20","20","21"
"Ivory Coast","CIV","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4"
"Japan","JPN","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Kazakhstan","KAZ","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"Kyrgyzstan","KGZ","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1"
"Kenya","KEN","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2"
"Latvia","LVA","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Lebanon","LBN","Population, total","SP.POP.TOTL","2","3","3","3","3","3","3","4","4","4","4","4","4","6","8","8","8","8","9","9","10","10","10","10","10","10","10"
"Libya","LBY","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","7","7","8","9","10","13","13","13"
"Lithuania","LTU","Population, total","SP.POP.TOTL","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0"
"Madagascar","MDG","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"Maldives","MDV","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Mali","MLI","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"Malta","MLT","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Mexico","MEX","Population, total","SP.POP.TOTL","0","0","1","2","2","5","7","7","7","8","8","8","11","12","14","19","21","24","27","31","33","33","35","39","41","47","48"
"Mozambique","MOZ","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Myanmar","MMR","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","4","4","5","5","5"
"Nepal","NPL","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","1","3","4","5","5","8","8","9","9","9","9","9","9","9","9","9","9"
"Nicaragua","NIC","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Nigeria","NGA","Population, total","SP.POP.TOTL","0","0","0","0","0","0","3","5","5","5","5","5","5","5","5","5","5","6","8","9","10","10","10","10","10","10","10"
"Pakistan","PAK","Population, total","SP.POP.TOTL","0","0","2","2","2","3","3","3","4","4","6","7","8","10","12","17","22","27","36","43","51","56","62","64","66","67","67"
"Panama","PAN","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1"
"Papua New Guinea","PNG","Population, total","SP.POP.TOTL","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Paraguay","PRY","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","2","2","2","2","2","2","2","5","5","5","5","5"
"Peru","PER","Population, total","SP.POP.TOTL","3","4","4","4","4","4","4","4","4","4","4","4","6","6","7","7","7","7","7","8","8","8","8","8","8","8","8"
"Philippines","PHL","Population, total","SP.POP.TOTL","2","3","3","3","4","5","6","6","8","10","12","17","23","27","31","31","33","68","70","72","73","76","77","77","77","79","79"
"Poland","POL","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Republic of Congo","COD","Population, total","SP.POP.TOTL","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Russia","RUS","Population, total","SP.POP.TOTL","0","8","11","19","25","25","27","30","33","34","37","39","41","43","46","47","49","52","52","53","54","56","56","56","56","58","58"
"Rwanda","RWA","Population, total","SP.POP.TOTL","0","0","15","15","15","15","16","16","16","16","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","17","17"
"Saudi Arabia","SAU","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Sierra Leone","SLE","Population, total","SP.POP.TOTL","0","0","0","0","0","1","2","10","13","13","13","13","13","14","14","14","14","14","14","14","14","14","14","14","14","14","14"
"Slovakia","SVK","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Somalia","SOM","Population, total","SP.POP.TOTL","0","5","8","9","9","9","9","9","10","10","10","11","11","13","14","21","23","32","34","37","49","54","58","61","64","66","66"
"South Africa","ZAF","Population, total","SP.POP.TOTL","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4"
"South Sudan","SSD","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","6","6"
"Spain","ESP","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Sri Lanka","LKA","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","1","3","3","3","3","6","8","9","14","16","19","19","19","19","19","19","19","19","19","19"
"Sudan","SDN","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Syria","SYR","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","34","63","80","94","109","117","121"
"Tajikistan","TJK","Population, total","SP.POP.TOTL","9","14","15","16","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17"
"Tanzania","TZA","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"Thailand","THA","Population, total","SP.POP.TOTL","0","0","0","0","0","0","1","1","1","3","3","3","3","3","3","3","6","6","8","9","10","10","10","10","10","10","10"
"Tunisia","TUN","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1"
"Turkey","TUR","Population, total","SP.POP.TOTL","9","13","15","16","17","17","17","18","18","18","18","18","18","18","18","19","19","20","20","20","20","20","21","24","26","26","26"
"Turkmenistan","TKM","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Uganda","UGA","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2"
"United Kingdom","GBR","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Ukraine","UKR","Population, total","SP.POP.TOTL","0","0","0","1","2","3","3","3","4","5","5","5","5","5","5","5","5","5","5","5","5","5","12","13","14","14","14"
"United States","USA","Population, total","SP.POP.TOTL","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","4","4","4","4","4","4","4","4","6","6","6","6"
"Uruguay","URY","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Venezuela","VEN","Population, total","SP.POP.TOTL","1","2","2","2","2","2","2","2","2","2","3","3","3","3","4","4","5","5","5","5","5","5","5","5","5","5","5"
"Yemen","YEM","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","4","5","12","18","20","21"
"Zimbabwe","ZWE","Population, total","SP.POP.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1"

